file_name,apk_type,permissions,cv_vector
0000ABE9DF732ABF0DFCB9BF5BCF78F935454CDC17867AFC1A73E74E931C3185 (1).apk,malware,android.permission.ACCESS_NETWORK_STATE|android.permission.VIBRATE|android.permission.INTERNET,0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
0000ABE9DF732ABF0DFCB9BF5BCF78F935454CDC17867AFC1A73E74E931C3185.apk,malware,android.permission.ACCESS_NETWORK_STATE|android.permission.VIBRATE|android.permission.INTERNET,0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
0000CF055A25514C0C7B999B5AF216DD314C496F8C3B067AC314C4D63292B87E.apk,malware,android.permission.VIBRATE|android.permission.ACCESS_NETWORK_STATE|android.permission.INTERNET|android.permission.ACCESS_WIFI_STATE|android.permission.READ_EXTERNAL_STORAGE,0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0
0000E35CB8F4E1853C2DBC7544429CE84C4DA799B894C7D716B7C3775DD5986E.apk,malware,android.permission.ACCESS_NETWORK_STATE|android.permission.INTERNET|android.permission.ACCESS_WIFI_STATE|android.permission.CALL_PHONE|android.permission.CHANGE_WIFI_STATE,0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
0000FB9153E00D6E2C8CF6A2B82D8B0F1C828080FDEB575DC600A5A49D045F5F.apk,malware,android.permission.FLASHLIGHT|android.permission.WRITE_SETTINGS|android.permission.ACCESS_WIFI_STATE|com.android.launcher.permission.READ_SETTINGS|android.permission.ACCESS_FINE_LOCATION|android.permission.READ_PHONE_STATE|com.android.launcher.permission.INSTALL_SHORTCUT|android.permission.WAKE_LOCK|android.permission.ACCESS_NETWORK_STATE|android.permission.RECEIVE_BOOT_COMPLETED|com.android.launcher.permission.UNINSTALL_SHORTCUT|android.permission.INTERNET|android.permission.WRITE_EXTERNAL_STORAGE|android.permission.SYSTEM_ALERT_WINDOW|android.permission.VIBRATE|android.permission.CAMERA|android.permission.ACCESS_COARSE_LOCATION|android.permission.GET_TASKS|android.permission.FLAG_ACTIVITY_NEW_TASK,0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|1|0|0|0|1|1|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0
0000FE4903C785213804ED174B931D4B2FF12D75A4C0D422D110FFFC26B413F9.apk,malware,android.permission.VIBRATE|android.permission.ACCESS_NETWORK_STATE|android.permission.CAMERA|com.google.android.c2dm.permission.RECEIVE|android.permission.WAKE_LOCK|android.permission.FOREGROUND_SERVICE|android.permission.INTERNET|android.permission.WRITE_EXTERNAL_STORAGE|android.permission.ACCESS_COARSE_LOCATION|android.permission.ACCESS_WIFI_STATE|com.klook.andpermission.bridge|android.permission.ACCESS_FINE_LOCATION|com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE|com.google.android.gms.permission.AD_ID|android.permission.BLUETOOTH|android.permission.READ_EXTERNAL_STORAGE,0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0
0000CF055A25514C0C7B999B5AF216DD314C496F8C3B067AC314C4D63292B87E.apk,malware,android.permission.VIBRATE|android.permission.ACCESS_NETWORK_STATE|android.permission.INTERNET|android.permission.ACCESS_WIFI_STATE|android.permission.READ_EXTERNAL_STORAGE,0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0
0000E35CB8F4E1853C2DBC7544429CE84C4DA799B894C7D716B7C3775DD5986E.apk,malware,android.permission.ACCESS_NETWORK_STATE|android.permission.INTERNET|android.permission.ACCESS_WIFI_STATE|android.permission.CALL_PHONE|android.permission.CHANGE_WIFI_STATE,0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
0000FB9153E00D6E2C8CF6A2B82D8B0F1C828080FDEB575DC600A5A49D045F5F.apk,malware,android.permission.FLASHLIGHT|android.permission.WRITE_SETTINGS|android.permission.ACCESS_WIFI_STATE|com.android.launcher.permission.READ_SETTINGS|android.permission.ACCESS_FINE_LOCATION|android.permission.READ_PHONE_STATE|com.android.launcher.permission.INSTALL_SHORTCUT|android.permission.WAKE_LOCK|android.permission.ACCESS_NETWORK_STATE|android.permission.RECEIVE_BOOT_COMPLETED|com.android.launcher.permission.UNINSTALL_SHORTCUT|android.permission.INTERNET|android.permission.WRITE_EXTERNAL_STORAGE|android.permission.SYSTEM_ALERT_WINDOW|android.permission.VIBRATE|android.permission.CAMERA|android.permission.ACCESS_COARSE_LOCATION|android.permission.GET_TASKS|android.permission.FLAG_ACTIVITY_NEW_TASK,0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|1|0|0|0|1|1|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0
0000FE4903C785213804ED174B931D4B2FF12D75A4C0D422D110FFFC26B413F9.apk,malware,android.permission.VIBRATE|android.permission.ACCESS_NETWORK_STATE|android.permission.CAMERA|com.google.android.c2dm.permission.RECEIVE|android.permission.WAKE_LOCK|android.permission.FOREGROUND_SERVICE|android.permission.INTERNET|android.permission.WRITE_EXTERNAL_STORAGE|android.permission.ACCESS_COARSE_LOCATION|android.permission.ACCESS_WIFI_STATE|com.klook.andpermission.bridge|android.permission.ACCESS_FINE_LOCATION|com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE|com.google.android.gms.permission.AD_ID|android.permission.BLUETOOTH|android.permission.READ_EXTERNAL_STORAGE,0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|0
